Hand(hand='acdei', bid=355, type=1, og_hand='2456T')
Hand(hand='kccik', bid=105, type=3, og_hand='Q44TQ')
Hand(hand='keebk', bid=350, type=3, og_hand='Q663Q')
Hand(hand='kehek', bid=745, type=3, og_hand='Q696Q')
Hand(hand='kifkf', bid=286, type=3, og_hand='QT7Q7')
Hand(hand='kikgi', bid=530, type=3, og_hand='QTQ8T')
Hand(hand='kkdmm', bid=951, type=3, og_hand='QQ5AA')
Hand(hand='lbbkl', bid=354, type=3, og_hand='K33QK')
Hand(hand='lccee', bid=991, type=3, og_hand='K4466')
Hand(hand='lccgl', bid=93, type=3, og_hand='K448K')
Hand(hand='lelaa', bid=954, type=3, og_hand='K6K22')
Hand(hand='lfdlf', bid=677, type=3, og_hand='K75K7')
Hand(hand='lhblh', bid=149, type=3, og_hand='K93K9')
Hand(hand='lhhbb', bid=889, type=3, og_hand='K9933')
Hand(hand='liiel', bid=388, type=3, og_hand='KTT6K')
Hand(hand='lmclc', bid=284, type=3, og_hand='KA4K4')
Hand(hand='mcgmc', bid=130, type=3, og_hand='A48A4')
Hand(hand='meeaa', bid=822, type=3, og_hand='A6622')
Hand(hand='mkhmh', bid=942, type=3, og_hand='AQ9A9')
Hand(hand='mkkee', bid=266, type=3, og_hand='AQQ66')
Hand(hand='mkkmi', bid=851, type=3, og_hand='AQQAT')
Hand(hand='mlblm', bid=108, type=3, og_hand='AK3KA')
Hand(hand='mlhlm', bid=581, type=3, og_hand='AK9KA')
Hand(hand='mlmbb', bid=821, type=3, og_hand='AKA33')
Hand(hand='mlmgl', bid=138, type=3, og_hand='AKA8K')
Hand(hand='mmala', bid=796, type=3, og_hand='AA2K2')
Hand(hand='11igb', bid=206, type=4, og_hand='JJT83')
Hand(hand='1aalk', bid=589, type=4, og_hand='J22KQ')
Hand(hand='1acab', bid=800, type=4, og_hand='J2423')
Hand(hand='1acaf', bid=152, type=4, og_hand='J2427')
Hand(hand='1ad1f', bid=848, type=4, og_hand='J25J7')
Hand(hand='1afdf', bid=159, type=4, og_hand='J2757')
Hand(hand='1bdid', bid=714, type=4, og_hand='J35T5')
Hand(hand='1bkbh', bid=177, type=4, og_hand='J3Q39')
Hand(hand='1bkkd', bid=884, type=4, og_hand='J3QQ5')
Hand(hand='1bkmk', bid=463, type=4, og_hand='J3QAQ')
Hand(hand='1bm1a', bid=413, type=4, og_hand='J3AJ2')
Hand(hand='1cbdb', bid=363, type=4, og_hand='J4353')
Hand(hand='1cggm', bid=900, type=4, og_hand='J488A')
Hand(hand='1clcd', bid=427, type=4, og_hand='J4K45')
Hand(hand='1d1il', bid=203, type=4, og_hand='J5JTK')
Hand(hand='1dfld', bid=650, type=4, og_hand='J57K5')
Hand(hand='1dmmh', bid=1000, type=4, og_hand='J5AA9')
Hand(hand='1eehg', bid=910, type=4, og_hand='J6698')
Hand(hand='1fdhd', bid=935, type=4, og_hand='J7595')
Hand(hand='1gdbb', bid=378, type=4, og_hand='J8533')
Hand(hand='1gdda', bid=439, type=4, og_hand='J8552')
Hand(hand='1ggek', bid=774, type=4, og_hand='J886Q')
Hand(hand='1ggfa', bid=967, type=4, og_hand='J8872')
Hand(hand='1gihg', bid=255, type=4, og_hand='J8T98')
Hand(hand='1glga', bid=961, type=4, og_hand='J8K82')
Hand(hand='1hgff', bid=171, type=4, og_hand='J9877')
Hand(hand='1hifi', bid=740, type=4, og_hand='J9T7T')
Hand(hand='1hlg1', bid=579, type=4, og_hand='J9K8J')
Hand(hand='1hllk', bid=424, type=4, og_hand='J9KKQ')
Hand(hand='1icbi', bid=351, type=4, og_hand='JT43T')
Hand(hand='1icie', bid=988, type=4, og_hand='JT4T6')
Hand(hand='1icig', bid=146, type=4, og_hand='JT4T8')
Hand(hand='1keea', bid=905, type=4, og_hand='JQ662')
Hand(hand='1kmcc', bid=852, type=4, og_hand='JQA44')
Hand(hand='1lhbh', bid=301, type=4, og_hand='JK939')
Hand(hand='1makk', bid=599, type=4, og_hand='JA2QQ')
Hand(hand='1mdb1', bid=63, type=4, og_hand='JA53J')
Hand(hand='1mfc1', bid=408, type=4, og_hand='JA74J')
Hand(hand='1miaa', bid=759, type=4, og_hand='JAT22')
Hand(hand='a1adm', bid=757, type=4, og_hand='2J25A')
Hand(hand='a1l1m', bid=564, type=4, og_hand='2JKJA')
Hand(hand='a1lmm', bid=682, type=4, og_hand='2JKAA')
Hand(hand='aakm1', bid=452, type=4, og_hand='22QAJ')
Hand(hand='aalab', bid=626, type=4, og_hand='22K23')
Hand(hand='aamae', bid=758, type=4, og_hand='22A26')
Hand(hand='ab1ak', bid=323, type=4, og_hand='23J2Q')
Hand(hand='aeaah', bid=976, type=4, og_hand='26229')
Hand(hand='aeeie', bid=17, type=4, og_hand='266T6')
Hand(hand='aemmm', bid=215, type=4, og_hand='26AAA')
Hand(hand='ahhdh', bid=303, type=4, og_hand='29959')
Hand(hand='ahlhh', bid=104, type=4, og_hand='29K99')
Hand(hand='ai1e1', bid=339, type=4, og_hand='2TJ6J')
Hand(hand='b1kbd', bid=793, type=4, og_hand='3JQ35')
Hand(hand='babcb', bid=829, type=4, og_hand='32343')
Hand(hand='bbblh', bid=406, type=4, og_hand='333K9')
Hand(hand='bc1ce', bid=533, type=4, og_hand='34J46')
Hand(hand='bcbbh', bid=886, type=4, og_hand='34339')
Hand(hand='bccgc', bid=240, type=4, og_hand='34484')
Hand(hand='bebbm', bid=748, type=4, og_hand='3633A')
Hand(hand='bfffg', bid=499, type=4, og_hand='37778')
Hand(hand='bg1kb', bid=338, type=4, og_hand='38JQ3')
Hand(hand='bgbbd', bid=655, type=4, og_hand='38335')
Hand(hand='bhggg', bid=204, type=4, og_hand='39888')
Hand(hand='bhi1i', bid=196, type=4, og_hand='39TJT')
Hand(hand='bi1il', bid=66, type=4, og_hand='3TJTK')
Hand(hand='biiig', bid=433, type=4, og_hand='3TTT8')
Hand(hand='bkbcb', bid=807, type=4, og_hand='3Q343')
Hand(hand='bkfff', bid=308, type=4, og_hand='3Q777')
Hand(hand='bkkkh', bid=786, type=4, og_hand='3QQQ9')
Hand(hand='bkm1b', bid=823, type=4, og_hand='3QAJ3')
Hand(hand='c1lcg', bid=997, type=4, og_hand='4JK48')
Hand(hand='caaha', bid=558, type=4, og_hand='42292')
Hand(hand='cbblb', bid=318, type=4, og_hand='433K3')
Hand(hand='cbecc', bid=307, type=4, og_hand='43644')
Hand(hand='cccbh', bid=958, type=4, og_hand='44439')
Hand(hand='ccdgc', bid=172, type=4, og_hand='44584')
Hand(hand='cceci', bid=13, type=4, og_hand='4464T')
Hand(hand='ccfgc', bid=644, type=4, og_hand='44784')
Hand(hand='cdfcc', bid=608, type=4, og_hand='45744')
Hand(hand='cek1e', bid=437, type=4, og_hand='46QJ6')
Hand(hand='cfb1f', bid=542, type=4, og_hand='473J7')
Hand(hand='cffkf', bid=674, type=4, og_hand='477Q7')
Hand(hand='cfgc1', bid=216, type=4, og_hand='4784J')
Hand(hand='ckkki', bid=773, type=4, og_hand='4QQQT')
Hand(hand='ckklk', bid=90, type=4, og_hand='4QQKQ')
Hand(hand='cldll', bid=903, type=4, og_hand='4K5KK')
Hand(hand='cmcbc', bid=153, type=4, og_hand='4A434')
Hand(hand='cmkm1', bid=585, type=4, og_hand='4AQAJ')
Hand(hand='d1fcc', bid=416, type=4, og_hand='5J744')
Hand(hand='d1ki1', bid=330, type=4, og_hand='5JQTJ')
Hand(hand='d1med', bid=531, type=4, og_hand='5JA65')
Hand(hand='dafd1', bid=629, type=4, og_hand='5275J')
Hand(hand='daidd', bid=690, type=4, og_hand='52T55')
Hand(hand='db1bm', bid=725, type=4, og_hand='53J3A')
Hand(hand='ddbdi', bid=557, type=4, og_hand='5535T')
Hand(hand='dddcm', bid=493, type=4, og_hand='5554A')
Hand(hand='dddfc', bid=622, type=4, og_hand='55574')
Hand(hand='dddme', bid=32, type=4, og_hand='555A6')
Hand(hand='dee1m', bid=638, type=4, og_hand='566JA')
Hand(hand='dem1m', bid=573, type=4, og_hand='56AJA')
Hand(hand='dfi1d', bid=74, type=4, og_hand='57TJ5')
Hand(hand='didfd', bid=418, type=4, og_hand='5T575')
Hand(hand='dieee', bid=481, type=4, og_hand='5T666')
Hand(hand='diili', bid=659, type=4, og_hand='5TTKT')
Hand(hand='dk1gd', bid=495, type=4, og_hand='5QJ85')
Hand(hand='dkkkh', bid=265, type=4, og_hand='5QQQ9')
Hand(hand='e11fa', bid=866, type=4, og_hand='6JJ72')
Hand(hand='e1bmb', bid=855, type=4, og_hand='6J3A3')
Hand(hand='e1eaf', bid=742, type=4, og_hand='6J627')
Hand(hand='e1ekh', bid=261, type=4, og_hand='6J6Q9')
Hand(hand='e1icc', bid=237, type=4, og_hand='6JT44')
Hand(hand='eadd1', bid=841, type=4, og_hand='6255J')
Hand(hand='eceef', bid=735, type=4, og_hand='64667')
Hand(hand='ecgcc', bid=36, type=4, og_hand='64844')
Hand(hand='ed1fd', bid=128, type=4, og_hand='65J75')
Hand(hand='edggg', bid=762, type=4, og_hand='65888')
Hand(hand='ee1km', bid=188, type=4, og_hand='66JQA')
Hand(hand='eeeck', bid=865, type=4, og_hand='6664Q')
Hand(hand='eeehc', bid=684, type=4, og_hand='66694')
Hand(hand='eeelc', bid=570, type=4, og_hand='666K4')
Hand(hand='eefeh', bid=202, type=4, og_hand='66769')
Hand(hand='eehd1', bid=334, type=4, og_hand='6695J')
Hand(hand='eeheb', bid=777, type=4, og_hand='66963')
Hand(hand='eeieg', bid=484, type=4, og_hand='66T68')
Hand(hand='ef1gg', bid=543, type=4, og_hand='67J88')
Hand(hand='egae1', bid=583, type=4, og_hand='6826J')
Hand(hand='egag1', bid=811, type=4, og_hand='6828J')
Hand(hand='eh1gg', bid=263, type=4, og_hand='69J88')
Hand(hand='eieec', bid=440, type=4, og_hand='6T664')
Hand(hand='ellbl', bid=458, type=4, og_hand='6KK3K')
Hand(hand='elmll', bid=141, type=4, og_hand='6KAKK')
Hand(hand='emi1e', bid=837, type=4, og_hand='6ATJ6')
Hand(hand='emmdm', bid=163, type=4, og_hand='6AA5A')
Hand(hand='f11bg', bid=809, type=4, og_hand='7JJ38')
Hand(hand='f1bfm', bid=421, type=4, og_hand='7J37A')
Hand(hand='faeff', bid=435, type=4, og_hand='72677')
Hand(hand='fbfk1', bid=827, type=4, og_hand='737QJ')
Hand(hand='fblff', bid=448, type=4, og_hand='73K77')
Hand(hand='fcac1', bid=761, type=4, og_hand='7424J')
Hand(hand='fdffl', bid=147, type=4, og_hand='7577K')
Hand(hand='fegee', bid=813, type=4, og_hand='76866')
Hand(hand='fel11', bid=189, type=4, og_hand='76KJJ')
Hand(hand='ff1li', bid=71, type=4, og_hand='77JKT')
Hand(hand='ffagf', bid=136, type=4, og_hand='77287')
Hand(hand='ffdfi', bid=117, type=4, og_hand='7757T')
Hand(hand='fffka', bid=69, type=4, og_hand='777Q2')
Hand(hand='fffml', bid=293, type=4, og_hand='777AK')
Hand(hand='ffk1i', bid=873, type=4, og_hand='77QJT')
Hand(hand='ffkfe', bid=387, type=4, og_hand='77Q76')
Hand(hand='ffma1', bid=763, type=4, og_hand='77A2J')
Hand(hand='fgee1', bid=575, type=4, og_hand='7866J')
Hand(hand='fhfaf', bid=158, type=4, og_hand='79727')
Hand(hand='fhhb1', bid=651, type=4, og_hand='7993J')
Hand(hand='fifmf', bid=392, type=4, og_hand='7T7A7')
Hand(hand='fkk1g', bid=18, type=4, og_hand='7QQJ8')
Hand(hand='flfcf', bid=833, type=4, og_hand='7K747')
Hand(hand='flfkf', bid=953, type=4, og_hand='7K7Q7')
Hand(hand='fllb1', bid=587, type=4, og_hand='7KK3J')
Hand(hand='fmm1g', bid=219, type=4, og_hand='7AAJ8')
Hand(hand='g1bmm', bid=335, type=4, og_hand='8J3AA')
Hand(hand='g1egb', bid=250, type=4, og_hand='8J683')
Hand(hand='g1ghd', bid=218, type=4, og_hand='8J895')
Hand(hand='gbgkg', bid=808, type=4, og_hand='838Q8')
Hand(hand='gblbb', bid=73, type=4, og_hand='83K33')
Hand(hand='ge1be', bid=879, type=4, og_hand='86J36')
Hand(hand='gemgg', bid=198, type=4, og_hand='86A88')
Hand(hand='gfbb1', bid=973, type=4, og_hand='8733J')
Hand(hand='ggcgi', bid=947, type=4, og_hand='8848T')
Hand(hand='gggbl', bid=68, type=4, og_hand='8883K')
Hand(hand='ggi1l', bid=2, type=4, og_hand='88TJK')
Hand(hand='gkgeg', bid=943, type=4, og_hand='8Q868')
Hand(hand='gkggc', bid=145, type=4, og_hand='8Q884')
Hand(hand='gllhl', bid=732, type=4, og_hand='8KK9K')
Hand(hand='gmhm1', bid=201, type=4, og_hand='8A9AJ')
Hand(hand='h1maa', bid=782, type=4, og_hand='9JA22')
Hand(hand='hcbb1', bid=62, type=4, og_hand='9433J')
Hand(hand='hcgcc', bid=407, type=4, og_hand='94844')
Hand(hand='hfh1g', bid=528, type=4, og_hand='979J8')
Hand(hand='hg1mg', bid=311, type=4, og_hand='98JA8')
Hand(hand='hh1dm', bid=313, type=4, og_hand='99J5A')
Hand(hand='hhem1', bid=160, type=4, og_hand='996AJ')
Hand(hand='hhhil', bid=637, type=4, og_hand='999TK')
Hand(hand='hhlhf', bid=258, type=4, og_hand='99K97')
Hand(hand='hihfh', bid=315, type=4, og_hand='9T979')
Hand(hand='hkhhb', bid=302, type=4, og_hand='9Q993')
Hand(hand='hl1i1', bid=994, type=4, og_hand='9KJTJ')
Hand(hand='hlllk', bid=712, type=4, og_hand='9KKKQ')
Hand(hand='i1aab', bid=698, type=4, og_hand='TJ223')
Hand(hand='i1mfi', bid=721, type=4, og_hand='TJA7T')
Hand(hand='iakaa', bid=728, type=4, og_hand='T2Q22')
Hand(hand='ica1c', bid=805, type=4, og_hand='T42J4')
Hand(hand='iekii', bid=404, type=4, og_hand='T6QTT')
Hand(hand='iffgf', bid=513, type=4, og_hand='T7787')
Hand(hand='ifi1e', bid=846, type=4, og_hand='T7TJ6')
Hand(hand='igggd', bid=669, type=4, og_hand='T8885')
Hand(hand='ii1bd', bid=726, type=4, og_hand='TTJ35')
Hand(hand='iidif', bid=270, type=4, og_hand='TT5T7')
Hand(hand='iiidc', bid=4, type=4, og_hand='TTT54')
Hand(hand='iiikc', bid=960, type=4, og_hand='TTTQ4')
Hand(hand='iikli', bid=810, type=4, og_hand='TTQKT')
Hand(hand='k1hdk', bid=365, type=4, og_hand='QJ95Q')
Hand(hand='k1hhe', bid=625, type=4, og_hand='QJ996')
Hand(hand='kaaah', bid=166, type=4, og_hand='Q2229')
Hand(hand='kagaa', bid=515, type=4, og_hand='Q2822')
Hand(hand='kcclc', bid=280, type=4, og_hand='Q44K4')
Hand(hand='kcdkk', bid=842, type=4, og_hand='Q45QQ')
Hand(hand='kf1ii', bid=870, type=4, og_hand='Q7JTT')
Hand(hand='kf1ka', bid=194, type=4, og_hand='Q7JQ2')
Hand(hand='kg1kb', bid=552, type=4, og_hand='Q8JQ3')
Hand(hand='khg11', bid=394, type=4, og_hand='Q98JJ')
Hand(hand='kie11', bid=588, type=4, og_hand='QT6JJ')
Hand(hand='kkake', bid=319, type=4, og_hand='QQ2Q6')
Hand(hand='kkbck', bid=272, type=4, og_hand='QQ34Q')
Hand(hand='kkde1', bid=962, type=4, og_hand='QQ56J')
Hand(hand='kkkga', bid=656, type=4, og_hand='QQQ82')
Hand(hand='kkkhl', bid=271, type=4, og_hand='QQQ9K')
Hand(hand='kleee', bid=716, type=4, og_hand='QK666')
Hand(hand='lbllh', bid=398, type=4, og_hand='K3KK9')
Hand(hand='lddm1', bid=565, type=4, og_hand='K55AJ')
Hand(hand='lelm1', bid=197, type=4, og_hand='K6KAJ')
Hand(hand='lggag', bid=173, type=4, og_hand='K8828')
Hand(hand='li1al', bid=264, type=4, og_hand='KTJ2K')
Hand(hand='lla1c', bid=101, type=4, og_hand='KK2J4')
Hand(hand='llbkl', bid=883, type=4, og_hand='KK3QK')
Hand(hand='llf1k', bid=208, type=4, og_hand='KK7JQ')
Hand(hand='llkg1', bid=94, type=4, og_hand='KKQ8J')
Hand(hand='lllik', bid=383, type=4, og_hand='KKKTQ')
Hand(hand='lllkc', bid=911, type=4, og_hand='KKKQ4')
Hand(hand='llmal', bid=869, type=4, og_hand='KKA2K')
Hand(hand='lm1al', bid=87, type=4, og_hand='KAJ2K')
Hand(hand='lmgg1', bid=912, type=4, og_hand='KA88J')
Hand(hand='madaa', bid=336, type=4, og_hand='A2522')
Hand(hand='mammk', bid=399, type=4, og_hand='A2AAQ')
Hand(hand='mb1cb', bid=835, type=4, og_hand='A3J43')
Hand(hand='mbam1', bid=410, type=4, og_hand='A32AJ')
Hand(hand='mbdbb', bid=895, type=4, og_hand='A3533')
Hand(hand='mfbmm', bid=593, type=4, og_hand='A73AA')
Hand(hand='mgm1k', bid=797, type=4, og_hand='A8AJQ')
Hand(hand='mhhfh', bid=190, type=4, og_hand='A9979')
Hand(hand='mhkmm', bid=563, type=4, og_hand='A9QAA')
Hand(hand='mkikk', bid=737, type=4, og_hand='AQTQQ')
Hand(hand='mmelm', bid=92, type=4, og_hand='AA6KA')
Hand(hand='mmidm', bid=453, type=4, og_hand='AAT5A')
Hand(hand='1bbdd', bid=664, type=5, og_hand='J3355')
Hand(hand='1bibi', bid=868, type=5, og_hand='J3T3T')
Hand(hand='1eded', bid=245, type=5, og_hand='J6565')
Hand(hand='1hdhd', bid=704, type=5, og_hand='J9595')
Hand(hand='1lhlh', bid=300, type=5, og_hand='JK9K9')
Hand(hand='1mmdd', bid=984, type=5, og_hand='JAA55')
Hand(hand='1mmgg', bid=227, type=5, og_hand='JAA88')
Hand(hand='a1kka', bid=471, type=5, og_hand='2JQQ2')
Hand(hand='a1lal', bid=791, type=5, og_hand='2JK2K')
Hand(hand='aa1cc', bid=559, type=5, og_hand='22J44')
Hand(hand='aabab', bid=75, type=5, og_hand='22323')
Hand(hand='aakak', bid=10, type=5, og_hand='22Q2Q')
Hand(hand='aamma', bid=904, type=5, og_hand='22AA2')
Hand(hand='ad1da', bid=817, type=5, og_hand='25J52')
Hand(hand='aeeea', bid=349, type=5, og_hand='26662')
Hand(hand='ahhha', bid=273, type=5, og_hand='29992')
Hand(hand='b1baa', bid=375, type=5, og_hand='3J322')
Hand(hand='bbaba', bid=719, type=5, og_hand='33232')
Hand(hand='bdbdd', bid=84, type=5, og_hand='35355')
Hand(hand='bfbff', bid=56, type=5, og_hand='37377')
Hand(hand='bibib', bid=816, type=5, og_hand='3T3T3')
Hand(hand='bmmbm', bid=872, type=5, og_hand='3AA3A')
Hand(hand='c1gcg', bid=641, type=5, og_hand='4J848')
Hand(hand='c1ici', bid=640, type=5, og_hand='4JT4T')
Hand(hand='cacaa', bid=322, type=5, og_hand='42422')
Hand(hand='cbbbc', bid=885, type=5, og_hand='43334')
Hand(hand='ccggg', bid=560, type=5, og_hand='44888')
Hand(hand='cckck', bid=151, type=5, og_hand='44Q4Q')
Hand(hand='cecee', bid=881, type=5, og_hand='46466')
Hand(hand='ceecc', bid=31, type=5, og_hand='46644')
Hand(hand='cfcfc', bid=679, type=5, og_hand='47474')
Hand(hand='chch1', bid=373, type=5, og_hand='4949J')
Hand(hand='cmcmm', bid=185, type=5, og_hand='4A4AA')
Hand(hand='daaad', bid=187, type=5, og_hand='52225')
Hand(hand='ddada', bid=352, type=5, og_hand='55252')
Hand(hand='dddcc', bid=874, type=5, og_hand='55544')
Hand(hand='dddgg', bid=38, type=5, og_hand='55588')
Hand(hand='ddeed', bid=696, type=5, og_hand='55665')
Hand(hand='ddmdm', bid=687, type=5, og_hand='55A5A')
Hand(hand='ddmmm', bid=379, type=5, og_hand='55AAA')
Hand(hand='didii', bid=779, type=5, og_hand='5T5TT')
Hand(hand='dldld', bid=631, type=5, og_hand='5K5K5')
Hand(hand='dldll', bid=936, type=5, og_hand='5K5KK')
Hand(hand='dlld1', bid=847, type=5, og_hand='5KK5J')
Hand(hand='eaaea', bid=957, type=5, og_hand='62262')
Hand(hand='ebbeb', bid=1, type=5, og_hand='63363')
Hand(hand='eedde', bid=480, type=5, og_hand='66556')
Hand(hand='eeeff', bid=268, type=5, og_hand='66677')
Hand(hand='eeell', bid=633, type=5, og_hand='666KK')
Hand(hand='eekke', bid=694, type=5, og_hand='66QQ6')
Hand(hand='ehh1e', bid=377, type=5, og_hand='699J6')
Hand(hand='emeem', bid=798, type=5, og_hand='6A66A')
Hand(hand='f1ccf', bid=705, type=5, og_hand='7J447')
Hand(hand='faaf1', bid=467, type=5, og_hand='7227J')
Hand(hand='fdddf', bid=361, type=5, og_hand='75557')
Hand(hand='feeff', bid=618, type=5, og_hand='76677')
Hand(hand='ffaaa', bid=787, type=5, og_hand='77222')
Hand(hand='ffdd1', bid=384, type=5, og_hand='7755J')
Hand(hand='fffll', bid=232, type=5, og_hand='777KK')
Hand(hand='fiiff', bid=21, type=5, og_hand='7TT77')
Hand(hand='fkkff', bid=464, type=5, og_hand='7QQ77')
Hand(hand='fmfmm', bid=836, type=5, og_hand='7A7AA')
Hand(hand='g1hhg', bid=688, type=5, og_hand='8J998')
Hand(hand='ga1ga', bid=64, type=5, og_hand='82J82')
Hand(hand='gagag', bid=975, type=5, og_hand='82828')
Hand(hand='gfg1f', bid=818, type=5, og_hand='878J7')
Hand(hand='gfggf', bid=713, type=5, og_hand='87887')
Hand(hand='ggbb1', bid=142, type=5, og_hand='8833J')
Hand(hand='ggkk1', bid=276, type=5, og_hand='88QQJ')
Hand(hand='giigg', bid=945, type=5, og_hand='8TT88')
Hand(hand='hbbbh', bid=497, type=5, og_hand='93339')
Hand(hand='hchhc', bid=296, type=5, og_hand='94994')
Hand(hand='hdhhd', bid=518, type=5, og_hand='95995')
Hand(hand='hfffh', bid=603, type=5, og_hand='97779')
Hand(hand='hgghg', bid=906, type=5, og_hand='98898')
Hand(hand='hghgh', bid=292, type=5, og_hand='98989')
Hand(hand='hhccc', bid=451, type=5, og_hand='99444')
Hand(hand='hhhll', bid=901, type=5, og_hand='999KK')
Hand(hand='hhkkh', bid=247, type=5, og_hand='99QQ9')
Hand(hand='hhkkk', bid=236, type=5, og_hand='99QQQ')
Hand(hand='hii1h', bid=940, type=5, og_hand='9TTJ9')
Hand(hand='ieiei', bid=396, type=5, og_hand='T6T6T')
Hand(hand='ii1ll', bid=863, type=5, og_hand='TTJKK')
Hand(hand='iif1f', bid=582, type=5, og_hand='TT7J7')
Hand(hand='iiicc', bid=933, type=5, og_hand='TTT44')
Hand(hand='iikkk', bid=3, type=5, og_hand='TTQQQ')
Hand(hand='ilill', bid=426, type=5, og_hand='TKTKK')
Hand(hand='im1mi', bid=554, type=5, og_hand='TAJAT')
Hand(hand='imiim', bid=965, type=5, og_hand='TATTA')
Hand(hand='kbb1k', bid=506, type=5, og_hand='Q33JQ')
Hand(hand='kdkdd', bid=922, type=5, og_hand='Q5Q55')
Hand(hand='kdkkd', bid=620, type=5, og_hand='Q5QQ5')
Hand(hand='kkbbk', bid=923, type=5, og_hand='QQ33Q')
Hand(hand='kkgkg', bid=898, type=5, og_hand='QQ8Q8')
Hand(hand='kkkff', bid=815, type=5, og_hand='QQQ77')
Hand(hand='kllkl', bid=689, type=5, og_hand='QKKQK')
Hand(hand='lb1bl', bid=76, type=5, og_hand='K3J3K')
Hand(hand='liili', bid=556, type=5, og_hand='KTTKT')
Hand(hand='lklkk', bid=880, type=5, og_hand='KQKQQ')
Hand(hand='llcc1', bid=993, type=5, og_hand='KK44J')
Hand(hand='lleel', bid=541, type=5, og_hand='KK66K')
Hand(hand='llhhl', bid=925, type=5, og_hand='KK99K')
Hand(hand='lllgg', bid=287, type=5, og_hand='KKK88')
Hand(hand='llmml', bid=562, type=5, og_hand='KKAAK')
Hand(hand='m1lml', bid=30, type=5, og_hand='AJKAK')
Hand(hand='mbmbb', bid=91, type=5, og_hand='A3A33')
Hand(hand='mgmmg', bid=490, type=5, og_hand='A8AA8')
Hand(hand='mhhmh', bid=509, type=5, og_hand='A99A9')
Hand(hand='mkkmm', bid=235, type=5, og_hand='AQQAA')
Hand(hand='mm1aa', bid=525, type=5, og_hand='AAJ22')
Hand(hand='11cdd', bid=771, type=6, og_hand='JJ455')
Hand(hand='11f1i', bid=22, type=6, og_hand='JJ7JT')
Hand(hand='1a11l', bid=179, type=6, og_hand='J2JJK')
Hand(hand='1bbbe', bid=597, type=6, og_hand='J3336')
Hand(hand='1cchc', bid=545, type=6, og_hand='J4494')
Hand(hand='1cd11', bid=750, type=6, og_hand='J45JJ')
Hand(hand='1dcdd', bid=37, type=6, og_hand='J5455')
Hand(hand='1ddde', bid=972, type=6, og_hand='J5556')
Hand(hand='1edee', bid=843, type=6, og_hand='J6566')
Hand(hand='1eeem', bid=927, type=6, og_hand='J666A')
Hand(hand='1eefe', bid=445, type=6, og_hand='J6676')
Hand(hand='1ffif', bid=902, type=6, og_hand='J77T7')
Hand(hand='1g1hh', bid=405, type=6, og_hand='J8J99')
Hand(hand='1gmgg', bid=345, type=6, og_hand='J8A88')
Hand(hand='1kddd', bid=359, type=6, og_hand='JQ555')
Hand(hand='1kkkc', bid=500, type=6, og_hand='JQQQ4')
Hand(hand='1kmmm', bid=316, type=6, og_hand='JQAAA')
Hand(hand='1mmdm', bid=977, type=6, og_hand='JAA5A')
Hand(hand='1mmmf', bid=340, type=6, og_hand='JAAA7')
Hand(hand='aa1fa', bid=200, type=6, og_hand='22J72')
Hand(hand='aaa1g', bid=329, type=6, og_hand='222J8')
Hand(hand='aaaga', bid=391, type=6, og_hand='22282')
Hand(hand='aaaha', bid=574, type=6, og_hand='22292')
Hand(hand='aac1a', bid=801, type=6, og_hand='224J2')
Hand(hand='aadaa', bid=27, type=6, og_hand='22522')
Hand(hand='aamaa', bid=243, type=6, og_hand='22A22')
Hand(hand='abaaa', bid=436, type=6, og_hand='23222')
Hand(hand='ahhhh', bid=343, type=6, og_hand='29999')
Hand(hand='akaaa', bid=934, type=6, og_hand='2Q222')
Hand(hand='ammmm', bid=844, type=6, og_hand='2AAAA')
Hand(hand='ba1aa', bid=115, type=6, og_hand='32J22')
Hand(hand='bab1b', bid=946, type=6, og_hand='323J3')
Hand(hand='bb1bd', bid=89, type=6, og_hand='33J35')
Hand(hand='bb1bi', bid=969, type=6, og_hand='33J3T')
Hand(hand='bbbhb', bid=459, type=6, og_hand='33393')
Hand(hand='bbfbb', bid=594, type=6, og_hand='33733')
Hand(hand='bbibb', bid=212, type=6, og_hand='33T33')
Hand(hand='bf1ff', bid=536, type=6, og_hand='37J77')
Hand(hand='bhhhh', bid=854, type=6, og_hand='39999')
Hand(hand='bkkkk', bid=685, type=6, og_hand='3QQQQ')
Hand(hand='blb1b', bid=605, type=6, og_hand='3K3J3')
Hand(hand='caccc', bid=891, type=6, og_hand='42444')
Hand(hand='cbcc1', bid=578, type=6, og_hand='4344J')
Hand(hand='ccccl', bid=479, type=6, og_hand='4444K')
Hand(hand='cccmc', bid=294, type=6, og_hand='444A4')
Hand(hand='ccecc', bid=612, type=6, og_hand='44644')
Hand(hand='ccf1c', bid=289, type=6, og_hand='447J4')
Hand(hand='ccicc', bid=446, type=6, og_hand='44T44')
Hand(hand='ceeee', bid=609, type=6, og_hand='46666')
Hand(hand='cffff', bid=25, type=6, og_hand='47777')
Hand(hand='cgccc', bid=619, type=6, og_hand='48444')
Hand(hand='ci11c', bid=285, type=6, og_hand='4TJJ4')
Hand(hand='cl1cc', bid=401, type=6, og_hand='4KJ44')
Hand(hand='da1dd', bid=547, type=6, og_hand='52J55')
Hand(hand='dcccc', bid=486, type=6, og_hand='54444')
Hand(hand='dd11m', bid=752, type=6, og_hand='55JJA')
Hand(hand='dddad', bid=522, type=6, og_hand='55525')
